SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
MA05KH0001,12/01/2000 10:30,,66.4,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
MA05KH0001,12/01/2000 10:30,<,0.02,0.02,,100195,MG/L,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,P
MA05KH0001,12/01/2000 10:30,,0.28,,,100216,MG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
MA05KH0001,12/01/2000 10:30,,0.043,,,7540,MG/L,AMMONIA DISSOLVED,AMMONIAC DISSOUS,P
MA05KH0001,12/01/2000 10:30,,0.0004,,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P
MA05KH0001,12/01/2000 10:30,,0.077,,,100196,MG/L,BARIUM DISSOLVED,BARYUM DISSOUS,P
MA05KH0001,12/01/2000 10:30,,0.0873,,,100217,MG/L,BARIUM TOTAL,BARYUM TOTAL,P
MA05KH0001,12/01/2000 10:30,<,0.5,0.5,,100197,UG/L,BERYLLIUM DISSOLVED,BÉRYLLIUM DISSOUS,P
MA05KH0001,12/01/2000 10:30,<,0.05,0.05,,100218,UG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
MA05KH0001,12/01/2000 10:30,,0.018,,,100211,MG/L,BORON DISSOLVED,BORE DISSOUS,P
MA05KH0001,12/01/2000 10:30,<,0.001,0.001,,100198,MG/L,CADMIUM DISSOLVED,CADMIUM DISSOUS,P
MA05KH0001,12/01/2000 10:30,<,0.0001,0.0001,,100219,MG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
MA05KH0001,12/01/2000 10:30,,50.3,,,100431,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
MA05KH0001,12/01/2000 10:30,,4.21,,,6104,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
MA05KH0001,12/01/2000 10:30,,0.566,,,6901,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
MA05KH0001,12/01/2000 10:30,,6.56,,,17206,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
MA05KH0001,12/01/2000 10:30,<,0.001,0.001,,100200,MG/L,CHROMIUM DISSOLVED,CHROME DISSOUS,P
MA05KH0001,12/01/2000 10:30,<,0.0002,0.0002,,100221,MG/L,CHROMIUM TOTAL,CHROME TOTAL,P
MA05KH0001,12/01/2000 10:30,<,0.001,0.001,,100199,MG/L,COBALT DISSOLVED,COBALT DISSOUS,P
MA05KH0001,12/01/2000 10:30,,0.0003,,,100220,MG/L,COBALT TOTAL,COBALT TOTAL,P
MA05KH0001,12/01/2000 10:30,<,5,5,,2021,REL UNITS,COLOUR TRUE,COULEUR VRAIE,P
MA05KH0001,12/01/2000 10:30,,420,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
MA05KH0001,12/01/2000 10:30,,0.001,,,100201,MG/L,COPPER DISSOLVED,CUIVRE DISSOUS,P
MA05KH0001,12/01/2000 10:30,,0.0014,,,100222,MG/L,COPPER TOTAL,CUIVRE TOTAL,P
