SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
AL06AD0001,20/01/2000 11:50,<,0.02,0.02,,100195,MG/L,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.457,,,100216,MG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
AL06AD0001,20/01/2000 11:50,,1.3,,,7540,MG/L,AMMONIA DISSOLVED,AMMONIAC DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.164,,,100196,MG/L,BARIUM DISSOLVED,BARYUM DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.207,,,100217,MG/L,BARIUM TOTAL,BARYUM TOTAL,P
AL06AD0001,20/01/2000 11:50,<,0.5,0.5,,100197,UG/L,BERYLLIUM DISSOLVED,BÉRYLLIUM DISSOUS,P
AL06AD0001,20/01/2000 11:50,<,0.05,0.05,,100218,UG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
AL06AD0001,20/01/2000 11:50,,0.088,,,100211,MG/L,BORON DISSOLVED,BORE DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.001,,,100198,MG/L,CADMIUM DISSOLVED,CADMIUM DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.0014,,,100219,MG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
AL06AD0001,20/01/2000 11:50,,12.5,,,6104,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
AL06AD0001,20/01/2000 11:50,,5.02,,,6901,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
AL06AD0001,20/01/2000 11:50,,0.001,,,100200,MG/L,CHROMIUM DISSOLVED,CHROME DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.0025,,,100221,MG/L,CHROMIUM TOTAL,CHROME TOTAL,P
AL06AD0001,20/01/2000 11:50,,0.001,,,100199,MG/L,COBALT DISSOLVED,COBALT DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.0019,,,100220,MG/L,COBALT TOTAL,COBALT TOTAL,P
AL06AD0001,20/01/2000 11:50,,15,,,2021,REL UNITS,COLOUR TRUE,COULEUR VRAIE,P
AL06AD0001,20/01/2000 11:50,,8.32,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
AL06AD0001,20/01/2000 11:50,<,0.001,0.001,,100201,MG/L,COPPER DISSOLVED,CUIVRE DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.0012,,,100222,MG/L,COPPER TOTAL,CUIVRE TOTAL,P
AL06AD0001,20/01/2000 11:50,<,0.01,0.01,,7110,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P
AL06AD0001,20/01/2000 11:50,,6.28,,,100202,MG/L,IRON DISSOLVED,FER DISSOUS,P
AL06AD0001,20/01/2000 11:50,,8.67,,,100223,MG/L,IRON TOTAL,FER TOTAL,P
AL06AD0001,20/01/2000 11:50,<,0.002,0.002,,100207,MG/L,LEAD DISSOLVED,PLOMB DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.0011,,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P
AL06AD0001,20/01/2000 11:50,,0.028,,,100203,MG/L,LITHIUM DISSOLVED,LITHIUM DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.0402,,,100224,MG/L,LITHIUM TOTAL,LITHIUM TOTAL,P
AL06AD0001,20/01/2000 11:50,,3.45,,,100204,MG/L,MANGANESE DISSOLVED,MANGANÈSE DISSOUS,P
AL06AD0001,20/01/2000 11:50,,3.69,,,100225,MG/L,MANGANESE TOTAL,MANGANÈSE TOTAL,P
AL06AD0001,20/01/2000 11:50,,0.001,,,100205,MG/L,MOLYBDENUM DISSOLVED,MOLYBDÈNE DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.0004,,,100226,MG/L,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,P
AL06AD0001,20/01/2000 11:50,<,0.002,0.002,,100206,MG/L,NICKEL DISSOLVED,NICKEL DISSOUS,P
AL06AD0001,20/01/2000 11:50,,0.0016,,,100227,MG/L,NICKEL TOTAL,NICKEL TOTAL,P
AL06AD0001,20/01/2000 11:50,,0.609,,,7901,MG/L,NITROGEN PARTICULATE,AZOTE PARTICULAIRE,P
AL06AD0001,20/01/2000 11:50,,1.67,,,7657,MG/L,NITROGEN TOTAL DISSOLVED,AZOTE TOTAL DISSOUS,P
